# title: Drinks
# ---------------------------------------------------------------------------
# Price column reference:
#   Single price          → 5
#   Two sizes (pipe `|`)  → Small=4|Large=6
#                           33cl=4.5|50cl=6.5
#                           Glass=7|Bottle=32
#   You can add as many sizes as you need (pipe-separated, Label=Price each).
#   Labels are free text — pick what reads cleanly on the printed menu.
#
# CSV gotcha: any description that contains a comma MUST be wrapped in
# "double quotes" — otherwise the parser splits the row mid-sentence.
# ---------------------------------------------------------------------------
section,name,description,price,dietary_tags,allergens
COFFEE COCKTAILS,Irish Coffee,"Coffee, whiskey, and soft whipped cream. A timeless classic.",10,,7
COFFEE COCKTAILS,Kaffe Karlsson,"Coffee, liqueur, and cream with a round and warm character.",10,,7

CAFÉ & TE,Café Solo,An intense and classic Spanish espresso with a rich aroma and bold flavor.,2.20,,
CAFÉ & TE,Americano,A smoother espresso with hot water for a round and elegant coffee experience.,2.20,,
CAFÉ & TE,Café con Leche,Perfectly balanced espresso with smooth steamed milk in a classic Spanish style.,2.60,,7
CAFÉ & TE,Café Bombón,A luxurious combination of espresso and sweet condensed milk with a velvety finish.,2.80,,7
CAFÉ & TE,Capuccino,Creamy milk foam meets intense espresso topped with a touch of cocoa.,3.20,,7
CAFÉ & TE,Café Latte,Soft and silky with extra steamed milk for a sophisticated coffee experience.,3.20,,7
CAFÉ & TE,Café Carajillo,A Spanish favorite where espresso meets a warm touch of liqueur for a deep and bold profile.,4,,
CAFÉ & TE,Infusiones,A selection of carefully curated teas and infusions for calm and elegant moments.,2.20,,

LÄSK & JUICE,Coca-Cola,,3,,
LÄSK & JUICE,Fanta,,3,,
LÄSK & JUICE,Sprite,,3,,
LÄSK & JUICE,Coca-Cola Zero,,3,,
LÄSK & JUICE,Pepsi Max,,3,,
LÄSK & JUICE,Numen Premium Water,,2.50,,
LÄSK & JUICE,Aquarius,,3,,
LÄSK & JUICE,Aquarius Naranja,,3,,
LÄSK & JUICE,Iced Tea,,3,,
LÄSK & JUICE,Schweppes,,3.50,,
LÄSK & JUICE,Apple Juice,,2.50,,
LÄSK & JUICE,Orange Juice,,2.50,,
LÄSK & JUICE,Pineapple Juice,,2.50,,
